filename,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135
file_48,-1318881933,-1900731676,-1576892465,-360124295,99738915,96365824,134878935,105601357,22085.758192297653,8471.928308115857,14069.474366473547,11130.56850140297,5279,994364,5279,998793,0.9999999999999288,0.9999999999998843,0.9999999999998576,0.9999999999998487,-7459344.214997317,-5949648.891762266,-7459344.214997317,-5974812.519324495,5279,994364,5279,998793
file_49,-1537642355,-330586502,-1215746163,-1882893948,134944725,105658488,100283595,96460228,14486.911598244,11438.007773763966,21948.84892213235,8187.057977635781,5293,1015055,5293,1013469,0.9999999999998543,0.9999999999998435,0.9999999999998557,0.9999999999998223,-7479126.525853532,-5969979.499895548,-7479126.525853532,-5963995.771669269,5293,1015055,5293,1013469
file_51,-633950402,156923154,-92627221,-551262925,49813740,35043334,35459025,32141841,3782.252538095796,9058.435623485235,12934.078139321387,6336.984911486336,2015,384978,2007,383730,0.9999999999985437,0.9999999999990795,0.999999999999504,0.999999999999273,-2847239.7410910386,-2199774.4146423885,-2835935.5634589153,-2194448.9282763097,2015,384978,2007,383730
file_50,-581383685,-19282417,-1360781493,-1893127370,139382745,106867399,99384975,96643340,13947.80926282317,10800.071097085782,21999.057237580517,8211.247336460585,5364,997442,5260,997495,0.999999999999807,0.9999999999998541,0.9999999999999225,0.9999999999998854,-7579451.102338626,-5971684.952075956,-7432496.793121024,-5974824.649518856,5364,997442,5260,997495
file_53,-19787236,-526251485,-567233732,198156027,36493560,32389947,50138610,35222873,13341.871656234058,6026.743061483884,3702.5713104483243,8847.229478990184,2085,386493,2020,386250,0.9999999999991316,0.9999999999987315,0.9999999999985704,0.999999999999091,-2946151.295372117,-2208623.403478532,-2854304.8521111156,-2202767.3146534674,2085,386493,2020,386250
file_52,-24310681,-444193306,-741960497,163428389,35876205,32764720,49442715,35279319,12862.850134286618,6155.3864386798905,3597.3851439369187,8166.176556502599,2010,386628,2008,387256,0.9999999999994934,0.9999999999992517,0.9999999999989856,0.9999999999989685,-2840174.6300709615,-2201456.851157313,-2837348.5856629307,-2207458.797519595,2010,386628,2008,387256
file_54,-1936836183,-172786804,682397847,-1039263629,78801375,68570374,94035585,66894927,14074.2537425218,8969.620590690576,9811.569868802633,7797.605331130297,3814,686564,3808,687629,0.9999999999998487,0.9999999999998012,0.9999999999998,0.9999999999997576,-5389266.68611475,-4105029.7842344837,-5380788.552890657,-4114466.95456249,3814,686564,3808,687629
file_55,-2029623034,-931792596,-1766881998,292214169,101012640,67885028,80797260,70903849,9518.173436744346,7694.445422158084,14736.317724993663,9676.365146238453,3928,682394,3928,683454,0.9999999999997898,0.9999999999997559,0.9999999999995562,0.99999999999955,-5550351.217372506,-4170183.142033123,-5550351.217372506,-4174442.3262883574,3928,682394,3928,683454
file_56,2055079932,-256445414,-1831622418,-121898314,100479690,70468758,79031640,69066148,10110.71693543049,9178.796480234809,14986.0392756051,9898.989455982051,3963,686673,3808,685794,0.9999999999997736,0.9999999999998437,0.9999999999998366,0.9999999999998154,-5599806.994513045,-4188890.856242396,-5380788.552890657,-4182313.267784121,3963,686673,3808,685794
file_57,-1102459354,-1362990397,285863412,550348769,118965660,78769565,104603550,105631601,15309.864421444905,16192.52849094977,19478.85092040442,15420.753894988142,5449,1007087,5445,1009681,0.9999999999999274,0.9999999999999528,0.9999999999999459,0.9999999999999083,-7699557.989679935,-6131557.355806704,-7693905.900863874,-6145782.270528481,5449,1007087,5445,1009681
